crash_date,crash_level,crash_record,crash_address,crash_impaired,num_vehicles,acc_persons,pedestrians,latitude,longitude
5/19/2023 17:55,Property,20230294434,City Blvd & City Av,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.152,-86.82
5/19/2023 18:21,Property,20230294461,Bellevue Ctr Pvtdr & Highway 70s,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.0786,-86.9475
5/19/2023 18:30,Property,20230294488,Lafayette St & Lea Av,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1536,-86.7766
5/19/2023 18:42,Property,20230294662,Mm 215 3 I 40,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1437,-86.6892
5/19/2023 19:00,Property,20230294536,Nashboro Blvd & Flintlock Ct,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.089,-86.6364
5/19/2023 19:55,Injury,20230294580,Mm 49 2 I 24,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1628,-86.7616
5/19/2023 20:00,Property,20230294601,Gallatin Pkes & Neelys Bend Rd,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.2566,-86.7142
5/19/2023 20:00,Property,20230299017,Magnum Dr & Hunting Dr,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1795,-86.6128
5/19/2023 20:17,Injury,20230294619,W Trinity Ln & I65 N Ent Ramp,No Impaired Drivers,2 Vehicles,5 Persons,No Pedestrians,36.2064,-86.7748
5/19/2023 20:43,Injury,20230294664,Rivergate Station Pvtdr & Gallatin Pken,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.2931,-86.7024
5/19/2023 21:00,Property,20230295728,Herman St & 14th Avn,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1659,-86.7993
5/19/2023 21:16,Injury,20230294689,Mm 37 4 I 24,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.3124,-86.8292
5/19/2023 22:00,Property,20230295523,Haywood Ln & Ezell Rd,No Impaired Drivers,2 Vehicles,5 Persons,No Pedestrians,36.0696,-86.6938
5/19/2023 22:05,Property,20230294789,Dominican Dr & Rosa L Parks Blvd,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.1879,-86.7984
5/19/2023 22:20,Property,20230294837,Lebanon Pke & Old Hickory Blvd,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.1984,-86.6203
5/19/2023 22:38,Fatal,20230294844,Springfield Hwy & Baker Station Rd,No Impaired Drivers,2 Vehicles,10 Persons,No Pedestrians,36.3767,-86.7488
5/19/2023 22:56,Injury,20230294868,Lebanon Pke & Fesslers Ln,Driver Impaired,2 Vehicles,3 Persons,No Pedestrians,36.1543,-86.7421
5/20/2023 0:00,Injury,20230295409,Mm 211 0 I 40,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.1543,-86.7594
5/20/2023 0:00,Injury,20230296579,Mm 212 0 I 40,No Impaired Drivers,1 Vehicle,2 Persons,No Pedestrians,36.147,-86.7433
5/20/2023 0:00,Property,20230295070,I40 E Ent Ramp & I 40,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1321,-86.8956
5/20/2023 0:00,Property,20230295256,Church St & I40 E Ext Ramp,Driver Impaired,2 Vehicles,4 Persons,No Pedestrians,36.158,-86.7914
